config,organ,dice,delta
remove_dec2_H1,gall_bladder,0.6383746530018363,-0.02641987485922337
remove_dec2_H1,right_adrenal_gland,0.6394265697923641,-0.024841800882610454
remove_dec2_H1,left_adrenal_gland,0.6322935507735645,-0.009218865215000593
remove_dec2_H1,duodenum,0.638971131543176,-0.003671348278641462
remove_dec2_H1,esophagus,0.7068237922985373,-0.059071808526093394
remove_dec2_H1,bladder,0.8215985798479992,-0.0037171156602414657
remove_dec2_H2,liver,0.9227836015274457,-0.005233941718968849
remove_dec2_H2,spleen,0.8942822790157318,-0.03232675997907131
remove_dec2_H2,right_kidney,0.9002684702621325,-0.018769247460327043
remove_dec2_H2,left_kidney,0.909832343658476,-0.014857492668174155
remove_dec2_H2,stomach,0.8001999999242416,-0.021898449268460518
remove_dec2_H2,pancreas,0.6377343264213376,-0.0629232058195619
remove_dec2_H2,gall_bladder,0.6505557886936397,-0.014238739167419912
remove_dec2_H2,right_adrenal_gland,0.5643954847317109,-0.09987288594326371
remove_dec2_H2,left_adrenal_gland,0.5818511804303473,-0.059661235558217784
remove_dec2_H2,duodenum,0.609232421096673,-0.033410058725144465
remove_dec2_H2,esophagus,0.7325696130865254,-0.033325987738105356
remove_dec2_H2,bladder,0.8031867616875347,-0.02212893382070602
remove_dec2_H3,liver,0.9256637458243381,-0.00235379742207642
remove_dec2_H3,spleen,0.9271360023647599,0.0005269633699568343
remove_dec2_H3,right_kidney,0.9205805465434914,0.0015428288210318497
remove_dec2_H3,left_kidney,0.9237153201198897,-0.0009745162067604785
remove_dec2_H3,stomach,0.8220901167702273,-8.33242247488819e-06
remove_dec2_H3,pancreas,0.6993550033351874,-0.0013025289057121414
remove_dec2_H3,gall_bladder,0.667422555745298,0.0026280278842383265
remove_dec2_H3,right_adrenal_gland,0.6618553969729014,-0.0024129737020731623
remove_dec2_H3,left_adrenal_gland,0.6396202040338757,-0.0018922119546894711
remove_dec2_H3,duodenum,0.6413734398359313,-0.0012690399858861223
remove_dec2_H3,esophagus,0.7675157833716497,0.0016201825470190112
remove_dec2_H3,bladder,0.8259807356832095,0.0006650401749688228
remove_dec2_H4,liver,0.9257924312655763,-0.0022251119808381903
remove_dec2_H4,spleen,0.9267858104488271,0.00017677145402406058
remove_dec2_H4,right_kidney,0.915787080443832,-0.0032506372786276216
remove_dec2_H4,left_kidney,0.9213621875015788,-0.0033276488250713054
remove_dec2_H4,stomach,0.8150484784397783,-0.007049970752923795
remove_dec2_H4,pancreas,0.6937294190752207,-0.006928113165678873
remove_dec2_H4,gall_bladder,0.6618668056267568,-0.002927722234302821
